PdId,IncidntNum,Incident Code,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,location,SF Find Neighborhoods 2 2,Current Police Districts 2 2,Current Supervisor Districts 2 2,Analysis Neighborhoods 2 2,DELETE - Fire Prevention Districts 2 2,DELETE - Police Districts 2 2,DELETE - Supervisor Districts 2 2,DELETE - Zip Codes 2 2,DELETE - Neighborhoods 2 2,DELETE - 2017 Fix It Zones 2 2,Civic Center Harm Reduction Project Boundary 2 2,Fix It Zones as of 2017-11-06  2 2,DELETE - HSOC Zones 2 2,Fix It Zones as of 2018-02-07 2 2,"CBD, BID and GBD Boundaries as of 2017 2 2","Areas of Vulnerability, 2016 2 2",Central Market/Tenderloin Boundary 2 2,Central Market/Tenderloin Boundary Polygon - Updated 2 2,HSOC Zones as of 2018-06-05 2 2,OWED Public Spaces 2 2,Neighborhoods 2
10047847406243,100478474,06243,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,05/20/2010,22:00,SOUTHERN,NONE,BERRY ST / 7TH ST,-122.40002612049,37.7705161444903,POINT (-122.40002612049 37.7705161444903),34,1,9,4,14,2,8,28856,20,,,,,,,1,,,,,34
10114154330000,101141543,30000,OTHER OFFENSES,"PERMIT VIOLATION, POLICE (GENERAL)",Saturday,12/11/2010,21:50,SOUTHERN,"ARREST, CITED",HARRISON ST / THE EMBARCADEROSOUTH ST,-122.388485562387,37.789572762563,POINT (-122.38848556238702 37.789572762563),30,1,10,8,6,2,9,28855,6,,,,,,,1,,,,,30
6094097903011,060940979,03011,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Saturday,07/01/2006,12:00,MISSION,NONE,1100 Block of TREAT AV,-122.412984332614,37.7517507874824,POINT (-122.412984332614 37.7517507874824),53,3,2,20,2,4,7,28859,19,,,,3,,,2,,,3,,53
13035577304134,130355773,04134,ASSAULT,BATTERY,Wednesday,05/01/2013,08:28,NORTHERN,"ARREST, CITED",600 Block of LARKIN ST,-122.417505259921,37.7835524987225,POINT (-122.41750525992101 37.7835524987225),20,5,10,36,7,9,9,28858,36,17,1,18,,18,6,2,1,1,,,20
8038780668020,080387806,68020,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Saturday,04/12/2008,13:50,INGLESIDE,NONE,600 Block of PARIS ST,-122.437443109934,37.718522879998,POINT (-122.437443109934 37.718522879998),90,9,1,7,9,7,6,28861,5,4,,4,,,,2,,,,,90
13002358806304,130023588,06304,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Wednesday,04/04/2012,09:00,PARK,NONE,800 Block of CENTRAL AV,-122.444994681535,37.7774397591652,POINT (-122.44499468153501 37.7774397591652),97,7,11,18,15,5,11,29490,16,,,,,,,1,,,,,97
7067660351040,070676603,51040,NON-CRIMINAL,AIDED CASE,Thursday,07/05/2007,19:01,SOUTHERN,NONE,700 Block of MARKET ST,-122.403919148357,37.7871160984672,POINT (-122.40391914835702 37.7871160984672),32,5,10,8,12,2,9,28853,6,,,,,,4,1,,,,35,32
13054024706314,130540247,06314,LARCENY/THEFT,GRAND THEFT BICYCLE,Monday,07/01/2013,12:55,SOUTHERN,NONE,100 Block of VALENCIA ST,-122.422375026857,37.7707188965808,POINT (-122.42237502685701 37.7707188965808),32,1,10,20,8,2,9,28853,19,,,,,,,2,,,,,32
3139893564020,031398935,64020,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,11/30/2003,11:20,INGLESIDE,NONE,0 Block of ADDISON ST,-122.432513268341,37.7377582824808,POINT (-122.43251326834101 37.737758282480804),59,9,5,10,2,7,5,63,7,,,,,,,1,,,,,59
3106224307046,031062243,07046,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Sunday,09/07/2003,13:00,PARK,NONE,0 Block of PARKRIDGE DR,-122.445773734421,37.7521256129151,POINT (-122.44577373442098 37.75212561291511),51,7,5,38,2,5,5,63,38,,,,,,,1,,,,,51
13000864363010,130008643,63010,WARRANTS,WARRANT ARREST,Thursday,01/03/2013,19:58,SOUTHERN,"ARREST, BOOKED",6TH ST / MINNA ST,-122.408162953857,37.7805345385278,POINT (-122.408162953857 37.7805345385278),32,1,10,34,14,2,9,28853,34,24,1,6,1,6,7,2,1,1,1,,32
4137289416710,041372894,16710,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,12/02/2004,22:07,MISSION,"ARREST, CITED",CALEDONIA ST / 16TH ST,-122.421381948286,37.764948089739,POINT (-122.421381948286 37.764948089739),53,3,2,20,8,4,7,28859,19,,,,3,,,2,,,3,,53
13051566051041,130515660,51041,NON-CRIMINAL,AIDED CASE -PROPERTY FOR DESTRUCTION,Sunday,06/23/2013,14:00,TARAVAL,NONE,2300 Block of 24TH AV,-122.48118317163,37.7437268170337,POINT (-122.48118317163 37.7437268170337),40,10,7,35,1,8,3,29491,35,,,25,,24,,1,,,,,40
12077780864070,120777808,64070,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,09/27/2012,10:00,RICHMOND,NONE,3400 Block of CLAY ST,-122.449684751771,37.7888040447734,POINT (-122.449684751771 37.7888040447734),10,8,6,31,13,6,1,54,31,,,,,,,1,,,,,10
13103327728100,131033277,28100,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Sunday,12/08/2013,03:32,CENTRAL,NONE,500 Block of GREEN ST,-122.407945033235,37.7996867434054,POINT (-122.407945033235 37.7996867434054),106,6,3,23,3,1,10,308,23,21,,23,,23,,2,,,,,106
12050675419090,120506754,19090,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,06/27/2012,15:13,MISSION,"ARREST, BOOKED",16TH ST / MISSION ST,-122.419671780296,37.7650501214668,POINT (-122.419671780296 37.7650501214668),53,3,2,20,8,4,7,28859,19,12,,14,3,14,,2,,,3,50,53
13041546875000,130415468,75000,MISSING PERSON,FOUND PERSON,Monday,05/20/2013,09:00,TARAVAL,LOCATED,2500 Block of 32ND AV,-122.489353053628,37.7396249911862,POINT (-122.489353053628 37.7396249911862),40,10,7,35,1,8,3,29491,35,,,,,,,1,,,,,40
