unitary authority|GB-MDB|Middlesbrough||en||
council area|GB-MLN|Midlothian||en||
unitary authority|GB-MIK|Milton Keynes||en||
unitary authority|GB-MON|Monmouthshire [Sir Fynwy GB-FYN]||en||
council area|GB-MRY|Moray||en||
unitary authority|GB-NTL|Neath Port Talbot [Castell-nedd Port Talbot GB-CTL]||en||
metropolitan district|GB-NET|Newcastle upon Tyne||en||
London borough|GB-NWM|Newham||en||
unitary authority|GB-NWP|Newport [Casnewydd GB-CNW]||en||
district|GB-NMD|Newry, Mourne and Down||en||
two-tier county|GB-NFK|Norfolk||en||
council area|GB-NAY|North Ayrshire||en||
unitary authority|GB-NEL|North East Lincolnshire||en||
council area|GB-NLK|North Lanarkshire||en||
unitary authority|GB-NLN|North Lincolnshire||en||
unitary authority|GB-NSM|North Somerset||en||
metropolitan district|GB-NTY|North Tyneside||en||
two-tier county|GB-NYK|North Yorkshire||en||
two-tier county|GB-NTH|Northamptonshire||en||
unitary authority|GB-NBL|Northumberland||en||
unitary authority|GB-NGM|Nottingham||en||
two-tier county|GB-NTT|Nottinghamshire||en||
metropolitan district|GB-OLD|Oldham||en||
council area|GB-ORK|Orkney Islands||en||
two-tier county|GB-OXF|Oxfordshire||en||
unitary authority|GB-PEM|Pembrokeshire [Sir Benfro GB-BNF]||en||
council area|GB-PKN|Perth and Kinross||en||
unitary authority|GB-PTE|Peterborough||en||
unitary authority|GB-PLY|Plymouth||en||
unitary authority|GB-POR|Portsmouth||en||
unitary authority|GB-POW|Powys||en||
unitary authority|GB-RDG|Reading||en||
London borough|GB-RDB|Redbridge||en||
unitary authority|GB-RCC|Redcar and Cleveland||en||
council area|GB-RFW|Renfrewshire||en||
unitary authority|GB-RCT|Rhondda Cynon Taff [Rhondda CynonTaf]||en||
London borough|GB-RIC|Richmond upon Thames||en||
metropolitan district|GB-RCH|Rochdale||en||
metropolitan district|GB-ROT|Rotherham||en||
unitary authority|GB-RUT|Rutland||en||
metropolitan district|GB-SLF|Salford||en||
metropolitan district|GB-SAW|Sandwell||en||
council area|GB-SCB|Scottish Borders||en||
metropolitan district|GB-SFT|Sefton||en||
metropolitan district|GB-SHF|Sheffield||en||
council area|GB-ZET|Shetland Islands||en||
unitary authority|GB-SHR|Shropshire||en||
unitary authority|GB-SLG|Slough||en||
metropolitan district|GB-SOL|Solihull||en||
two-tier county|GB-SOM|Somerset||en||
