Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2020-901502,12595660768,01/24/2020 12:00:00 AM,01/24/2020 11:59:00 PM,01/31/2020 06:22:22 AM,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,N,J,J3,GREENWOOD,7XX BLOCK OF N 78TH ST,-122.348556109,47.68549113
2020-901501,12595660468,01/29/2020 11:00:00 PM,01/30/2020 10:30:00 AM,01/31/2020 06:22:14 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q2,QUEEN ANNE,TAYLOR AVE N / GALER ST,-122.346263792,47.63230108
2020-037657,12595588643,01/31/2020 03:09:00 AM,01/31/2020 03:09:00 AM,01/31/2020 05:08:19 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SW,W,W3,MORGAN,FAUNTLEROY WAY SW / HOLLY PL SW,-122.390001177,47.54442736
2020-037709,12595579944,01/31/2020 04:10:00 AM,01/31/2020 04:15:00 AM,01/31/2020 04:53:26 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,J,J3,ROOSEVELT/RAVENNA,11XX BLOCK OF N 77TH ST,-122.34314261,47.68476424
2020-037669,12595580098,01/30/2020 10:30:00 PM,01/31/2020 03:00:00 AM,01/31/2020 04:50:59 AM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,E,E,E1,CAPITOL HILL,5XX BLOCK OF BROADWAY E,-122.320933335,47.62369897
2020-037629,12595525225,01/31/2020 01:35:48 AM,,01/31/2020 03:34:52 AM,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,E,E,E3,CAPITOL HILL,11XX BLOCK OF HARVARD AVE,-122.321718726,47.61232219
2020-037629,12596044818,01/31/2020 01:35:48 AM,,01/31/2020 03:34:52 AM,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,35B,E,E,E3,CAPITOL HILL,11XX BLOCK OF HARVARD AVE,-122.321718726,47.61232219
2020-037620,12595474959,01/31/2020 01:18:06 AM,,01/31/2020 02:49:16 AM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,S JACKSON ST / 8TH AVE S,-122.322444693,47.59918613
2020-037553,12595492994,01/30/2020 11:41:00 PM,,01/31/2020 02:17:51 AM,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,W,M,M1,DOWNTOWN COMMERCIAL,13XX BLOCK OF WESTERN AVE,-122.339761467,47.60686714
2020-037628,12595430056,01/31/2020 01:30:00 AM,,01/31/2020 01:44:17 AM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,F,F3,HIGHLAND PARK,81XX BLOCK OF 15TH AVE SW,-122.353942744,47.52919654
2020-037586,12595405437,01/31/2020 12:35:00 AM,01/31/2020 12:39:00 AM,01/31/2020 01:20:18 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,G,G2,MADRONA/LESCHI,1XX BLOCK OF 23RD AVE S,-122.302235837,47.6010021
2020-036160,12595747123,01/30/2020 10:00:00 PM,01/30/2020 01:00:00 AM,01/31/2020 01:01:23 AM,A,PROPERTY,EXTORTION/BLACKMAIL,Extortion/Blackmail,210,W,Q,Q3,QUEEN ANNE,1XX BLOCK OF W MERCER ST,-122.358668576,47.62458989
2020-037343,12595308995,01/30/2020 07:11:00 PM,01/30/2020 07:17:00 PM,01/30/2020 11:42:15 PM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SW,W,W2,ALASKA JUNCTION,SW OREGON ST / CALIFORNIA AVE SW,-122.386775316,47.56291163
2020-037385,12595316048,01/30/2020 06:00:00 PM,01/30/2020 07:40:00 PM,01/30/2020 11:39:25 PM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,U,U3,ROOSEVELT/RAVENNA,26XX BLOCK OF NE UNIVERSITY VILLAGE ST,-122.298411155,47.66332336
2020-037474,12595264412,01/30/2020 11:07:48 PM,01/30/2020 10:00:00 PM,01/30/2020 11:07:57 PM,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,W,K,K1,DOWNTOWN COMMERCIAL,MADISON ST / ALASKAN WAY,-122.338424085,47.60378135
2020-037389,12595253625,01/30/2020 08:15:00 PM,01/30/2020 09:06:00 PM,01/30/2020 10:18:11 PM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SW,W,W3,ROXHILL/WESTWOOD/ARBOR HEIGHTS,97XX BLOCK OF 32ND AVE SW,-122.373276954,47.51517049
2020-037413,12595250243,01/29/2020 06:00:00 AM,01/30/2020 07:00:00 PM,01/30/2020 10:13:20 PM,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,E,G,G2,CENTRAL AREA/SQUIRE PARK,22XX BLOCK OF E FIR ST,-122.303083645,47.60266908
2020-037348,12595200039,01/26/2020 12:00:00 AM,01/30/2020 12:00:00 AM,01/30/2020 10:02:11 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SW,F,F3,SOUTH PARK,90XX BLOCK OF 8TH AVE S,-122.322978958,47.5226618
2020-037407,12595243019,01/28/2020 04:20:00 AM,,01/30/2020 09:34:03 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,R,R1,NORTH BEACON HILL,33XX BLOCK OF CHEASTY BLVD S,-122.299384611,47.57456845
2020-037346,12595071781,01/30/2020 05:30:00 PM,01/30/2020 07:00:00 PM,01/30/2020 07:49:39 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,M,M3,DOWNTOWN COMMERCIAL,PIKE ST / 5TH AVE,-122.335574023,47.6106779
2020-037353,12595091203,01/29/2020 03:30:00 PM,,01/30/2020 07:43:34 PM,A,PROPERTY,FRAUD OFFENSES,Hacking/Computer Invasion,26G,N,U,U3,SANDPOINT,75XX BLOCK OF 41ST AVE NE,-122.284174463,47.68394639
2020-037093,12595043230,01/30/2020 02:42:00 PM,01/30/2020 06:42:00 PM,01/30/2020 07:36:27 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,B,B2,FREMONT,6XX BLOCK OF N 35TH ST,-122.350545827,47.6506252
2020-037213,12595032772,11/29/2019 03:45:00 PM,11/29/2019 04:45:00 PM,01/30/2020 07:32:52 PM,A,PERSON,SEX OFFENSES,Fondling,11D,N,U,U3,ROOSEVELT/RAVENNA,,0,0
2020-036978,12595029479,01/29/2020 06:00:00 PM,01/29/2020 09:00:00 PM,01/30/2020 07:26:43 PM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,E,C,C1,CAPITOL HILL,SUMMIT AVE E / BELMONT AVE E,-122.325596007,47.62676478
2020-036856,12595036183,01/30/2020 12:00:00 AM,,01/30/2020 07:25:40 PM,A,PROPERTY,ARSON,Arson,200,S,R,R3,HILLMAN CITY,60XX BLOCK OF MARTIN LUTHER KING JR WAY S,-122.285947372,47.54706873
2020-037307,12595033200,01/30/2020 06:39:00 PM,,01/30/2020 07:23:50 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,1XX BLOCK OF 6TH AVE S,-122.326352374,47.60129045
2020-037225,12595002186,01/29/2020 05:00:00 PM,01/30/2020 05:00:00 AM,01/30/2020 07:00:14 PM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,E,E,E1,CAPITOL HILL,9XX BLOCK OF E HARRISON ST,-122.320415237,47.62198537
2020-037154,12596860241,01/30/2020 04:21:00 PM,01/30/2020 04:31:00 PM,01/30/2020 06:48:24 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,D,D1,BELLTOWN,3RD AVE / LENORA ST,-122.342192704,47.61316683
2020-037273,12594983343,01/27/2020 07:00:00 PM,01/30/2020 02:00:00 PM,01/30/2020 06:09:34 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SW,F,F1,SOUTH PARK,2ND AVE S / S FONTANELLE ST,-122.331134427,47.53673888
2020-037152,12594899782,01/30/2020 04:16:00 PM,,01/30/2020 05:29:58 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,M,M2,DOWNTOWN COMMERCIAL,4XX BLOCK OF PINE ST,-122.337320423,47.61132124
2020-037193,12594890083,01/30/2020 04:00:00 PM,,01/30/2020 05:29:35 PM,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,SW,W,W1,NORTH DELRIDGE,40XX BLOCK OF 26TH AVE SW,-122.365444118,47.5672585
2020-037043,12594875545,01/30/2020 02:58:00 PM,01/30/2020 02:58:00 PM,01/30/2020 05:16:12 PM,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,N,J,J2,BALLARD NORTH,70XX BLOCK OF 15TH AVE NW,-122.37677179,47.68045515
2020-036993,12594940861,01/30/2020 12:00:00 AM,,01/30/2020 05:15:06 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,E,E,E3,FIRST HILL,SUMMIT AVE / UNIVERSITY ST,-122.324876089,47.61240799
2020-036873,12594859865,01/30/2020 12:58:00 PM,,01/30/2020 05:04:46 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,5XX BLOCK OF S JACKSON ST,-122.327013755,47.59919385
2020-037020,12594851433,01/30/2020 02:20:00 PM,,01/30/2020 04:59:33 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,12XX BLOCK OF S JACKSON ST,-122.315680055,47.59919954
2020-037119,12594840154,01/09/2020 12:00:00 AM,01/28/2020 12:00:00 AM,01/30/2020 04:52:57 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SW,F,F2,SOUTH DELRIDGE,90XX BLOCK OF 18TH AVE SW,-122.357805911,47.521948
2020-037103,12594821547,01/30/2020 03:53:00 PM,,01/30/2020 04:28:36 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,U,U1,ROOSEVELT/RAVENNA,10XX BLOCK OF NE 64TH ST,-122.3165105,47.67497945
2020-037103,12594638283,01/30/2020 03:53:00 PM,,01/30/2020 04:28:36 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,U,U1,ROOSEVELT/RAVENNA,10XX BLOCK OF NE 64TH ST,-122.3165105,47.67497945
2020-037051,12593791404,12/24/2019 03:00:00 AM,12/25/2019 05:00:00 PM,01/30/2020 04:14:20 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,W,Q,Q3,QUEEN ANNE,2XX BLOCK OF W MERCER ST,-122.359974841,47.62459539
2020-036933,12594818961,01/30/2020 01:30:00 PM,01/30/2020 01:35:00 PM,01/30/2020 04:02:44 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,M,M1,DOWNTOWN COMMERCIAL,2XX BLOCK OF PINE ST,-122.339256992,47.61051065
2020-036947,12592379155,12/18/2019 02:00:00 PM,,01/30/2020 03:18:59 PM,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,E,C,C2,MADISON PARK,23XX BLOCK OF 38TH AVE E,-122.284851383,47.63999223
2020-036979,12590503355,01/30/2020 07:30:00 AM,,01/30/2020 03:09:10 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,J,J3,ROOSEVELT/RAVENNA,75XX BLOCK OF AURORA AVE N,-122.344486328,47.68366976
2020-037005,12590506410,01/26/2020 05:30:00 PM,01/26/2020 07:00:00 PM,01/30/2020 02:49:20 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,10XX BLOCK OF S JACKSON ST,-122.318430722,47.59918657
2020-036895,12589971268,01/30/2020 01:00:00 PM,,01/30/2020 02:27:24 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,U,U2,UNIVERSITY,47XX BLOCK OF BROOKLYN AVE NE,-122.31422406,47.66400406
2020-901499,12588019295,01/29/2020 06:30:00 PM,01/29/2020 10:30:00 PM,01/30/2020 02:14:49 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,M,M1,BELLTOWN,VIRGINIA ST / 2ND AVE,-122.341752608,47.61173309
2020-901498,12586687316,01/30/2020 12:00:00 AM,01/30/2020 08:00:00 AM,01/30/2020 02:03:07 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,W,W3,MORGAN,71XX BLOCK OF WOODSIDE PL SW,-122.389423618,47.53887651
2020-901496,12585715433,01/06/2020 04:25:00 PM,01/06/2020 07:25:00 PM,01/30/2020 01:52:15 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,B,B3,WALLINGFORD,N 54TH ST / WALLINGFORD AVE N,-122.336386268,47.66794353
2020-036362,12587314943,01/10/2020 12:00:00 AM,,01/30/2020 01:39:52 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,W,K,K1,DOWNTOWN COMMERCIAL,1XX BLOCK OF JAMES ST,-122.333211275,47.60201606
2020-036553,12584852788,01/29/2020 10:00:00 PM,01/30/2020 09:00:00 AM,01/30/2020 01:30:25 PM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,B,B3,WALLINGFORD,41XX BLOCK OF ASHWORTH AVE N,-122.339734034,47.65741891
2020-901493,12582114032,01/29/2020 07:30:00 PM,01/29/2020 10:30:00 PM,01/30/2020 01:13:06 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,M,M1,BELLTOWN,VIRGINIA ST / 2ND AVE,-122.341752608,47.61173309
