Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2020-039958,12600609210,02/01/2020 06:00:34 PM,,02/01/2020 07:50:54 PM,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,W,K,K2,PIONEER SQUARE,ALASKAN WAY S / S KING ST,-122.335906214,47.59824021
2020-039916,12600803479,02/01/2020 01:30:00 PM,,02/01/2020 07:44:03 PM,A,PERSON,KIDNAPPING/ABDUCTION,Kidnapping/Abduction,100,E,C,C3,CENTRAL AREA/SQUIRE PARK,,0,0
2020-039601,12600511715,02/01/2020 12:00:00 AM,,02/01/2020 07:01:47 PM,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,S,S2,BRIGHTON/DUNLAP,51XX BLOCK OF S OTHELLO ST,-122.268774011,47.53698054
2020-039879,12600462705,09/01/2019 12:00:00 AM,02/01/2020 12:00:00 AM,02/01/2020 06:34:32 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,S,S,S2,BRIGHTON/DUNLAP,63XX BLOCK OF 39TH AVE S,-122.283336908,47.54566315
2020-039933,12600418886,02/01/2020 05:23:00 PM,,02/01/2020 06:15:47 PM,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,S,O,O2,GEORGETOWN,44XX BLOCK OF 4TH AVE S,-122.329368515,47.56380429
2020-039905,12600366898,02/01/2020 04:45:00 PM,02/01/2020 05:00:00 PM,02/01/2020 05:51:08 PM,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,M,M2,DOWNTOWN COMMERCIAL,4XX BLOCK OF PINE ST,-122.337320423,47.61132124
2020-039903,12600323740,01/25/2020 12:00:00 PM,02/01/2020 04:15:00 PM,02/01/2020 05:30:27 PM,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,W,Q,Q1,MAGNOLIA,34XX BLOCK OF 22ND AVE W,-122.384674317,47.65123952
2020-039901,12600318228,01/29/2020 12:00:00 AM,,02/01/2020 05:26:24 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,L,L2,NORTHGATE,8XX BLOCK OF NE 106TH ST,-122.319889294,47.70584423
2020-039827,12600237486,02/01/2020 03:26:00 PM,,02/01/2020 04:56:41 PM,A,PROPERTY,ROBBERY,Robbery,120,SW,W,W2,ALASKA JUNCTION,47XX BLOCK OF 42ND AVE SW,-122.385483507,47.56019555
2020-039705,12600220498,01/31/2020 10:55:00 AM,01/31/2020 08:08:00 PM,02/01/2020 04:47:04 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,Q,Q1,MAGNOLIA,26XX BLOCK OF W MARINA PL,-122.391970804,47.63103937
